LS 52970,BP 938.440,BH 28.440,BT 15.560,DH 64.900,DT 5.000,GT 23:30:32,GD 27/3,GF 1/2,GS 8,GL 1036.986,GB 4746.402,GH 711.4000
LS 52975,BP 938.430,BH 28.440,BT 15.550,DH 64.900,DT 4.900,GT 23:30:37,GD 27/3,GF 1/2,GS 8,GL 1036.985,GB 4746.402,GH 711.4000
LS 52980,BP 938.440,BH 28.450,BT 15.550,DH 65.000,DT 4.900,GT 23:30:42,GD 27/3,GF 1/2,GS 8,GL 1036.985,GB 4746.402,GH 711.5000
LS 52985,BP 938.430,BH 28.450,BT 15.540,DH 65.000,DT 4.900,GT 23:30:47,GD 27/3,GF 1/2,GS 8,GL 1036.985,GB 4746.402,GH 711.5000
LS 52990,BP 938.450,BH 28.460,BT 15.540,DH 65.000,DT 5.000,GT 23:30:52,GD 27/3,GF 1/2,GS 8,GL 1036.985,GB 4746.402,GH 711.6000
LS 52995,BP 938.460,BH 28.460,BT 15.540,DH 65.000,DT 4.900,GT 23:30:57,GD 27/3,GF 1/2,GS 9,GL 1036.985,GB 4746.402,GH 711.6000
LS 53000,BP 938.440,BH 28.470,BT 15.520,DH 65.000,DT 4.900,GT 23:31:2,GD 27/3,GF 1/2,GS 9,GL 1036.985,GB 4746.402,GH 711.7000
LS 53005,BP 938.450,BH 28.470,BT 15.520,DH 65.000,DT 4.900,GT 23:31:7,GD 27/3,GF 1/2,GS 10,GL 1036.985,GB 4746.402,GH 711.7000
LS 53010,BP 938.530,BH 28.480,BT 15.510,DH 65.000,DT 4.900,GT 23:31:12,GD 27/3,GF 1/2,GS 10,GL 1036.985,GB 4746.402,GH 711.7000
LS 53015,BP 938.460,BH 28.480,BT 15.510,DH 65.000,DT 4.900,GT 23:31:17,GD 27/3,GF 1/2,GS 10,GL 1036.985,GB 4746.402,GH 711.7000
LS 53020,BP 938.470,BH 28.470,BT 15.510,DH 64.900,DT 4.900,GT 23:31:22,GD 27/3,GF 1/2,GS 10,GL 1036.985,GB 4746.402,GH 711.8000
LS 53025,BP 938.480,BH 28.480,BT 15.500,DH 64.800,DT 4.900,GT 23:31:27,GD 27/3,GF 1/2,GS 10,GL 1036.985,GB 4746.402,GH 711.9000
LS 53030,BP 938.450,BH 28.480,BT 15.490,DH 64.700,DT 4.900,GT 23:31:32,GD 27/3,GF 1/2,GS 10,GL 1036.985,GB 4746.402,GH 711.9000
LS 53035,BP 938.480,BH 28.460,BT 15.500,DH 64.600,DT 4.900,GT 23:31:37,GD 27/3,GF 1/2,GS 10,GL 1036.985,GB 4746.402,GH 711.9000
LS 53040,BP 938.450,BH 28.490,BT 15.490,DH 64.400,DT 4.900,GT 23:31:42,GD 27/3,GF 1/2,GS 9,GL 1036.985,GB 4746.402,GH 711.9000
LS 53045,BP 938.490,BH 28.490,BT 15.490,DH 64.300,DT 4.900,GT 23:31:47,GD 27/3,GF 1/2,GS 9,GL 1036.985,GB 4746.402,GH 712.0000
LS 53050,BP 938.450,BH 28.490,BT 15.470,DH 64.200,DT 4.900,GT 23:31:52,GD 27/3,GF 1/2,GS 8,GL 1036.985,GB 4746.402,GH 712.0000
LS 53055,BP 938.480,BH 28.500,BT 15.480,DH 64.200,DT 4.900,GT 23:31:57,GD 27/3,GF 1/2,GS 8,GL 1036.985,GB 4746.402,GH 712.1000
LS 53060,BP 938.470,BH 28.510,BT 15.470,DH 64.200,DT 4.900,GT 23:32:2,GD 27/3,GF 1/2,GS 8,GL 1036.985,GB 4746.402,GH 712.1000
LS 53065,BP 938.470,BH 28.500,BT 15.470,DH 64.300,DT 4.900,GT 23:32:7,GD 27/3,GF 1/2,GS 9,GL 1036.985,GB 4746.402,GH 712.2000
LS 53070,BP 938.440,BH 28.500,BT 15.460,DH 64.300,DT 4.900,GT 23:32:12,GD 27/3,GF 1/2,GS 9,GL 1036.985,GB 4746.402,GH 712.2000
LS 53075,BP 938.470,BH 28.500,BT 15.450,DH 64.400,DT 4.900,GT 23:32:17,GD 27/3,GF 1/2,GS 9,GL 1036.985,GB 4746.402,GH 712.2000
LS 53080,BP 938.500,BH 28.510,BT 15.460,DH 64.400,DT 4.900,GT 23:32:22,GD 27/3,GF 1/2,GS 9,GL 1036.985,GB 4746.402,GH 712.3000
LS 53085,BP 938.440,BH 28.500,BT 15.440,DH 64.400,DT 4.900,GT 23:32:27,GD 27/3,GF 1/2,GS 10,GL 1036.985,GB 4746.402,GH 712.3000
