LS 26400,BP 933.920,BH 34.420,BT 19.770,DH 43.800,DT 13.500,GT 16:7:27,GD 27/3,GF 1/2,GS 9,GL 1033.432,GB 4746.036,GH 757.5000
LS 26405,BP 933.940,BH 34.410,BT 19.760,DH 42.500,DT 13.900,GT 16:7:32,GD 27/3,GF 1/2,GS 9,GL 1033.438,GB 4746.041,GH 757.6000
LS 26410,BP 933.920,BH 34.300,BT 19.780,DH 42.700,DT 14.100,GT 16:7:37,GD 27/3,GF 1/2,GS 9,GL 1033.442,GB 4746.042,GH 757.5000
LS 26415,BP 933.880,BH 34.220,BT 19.770,DH 43.600,DT 14.200,GT 16:7:42,GD 27/3,GF 1/2,GS 9,GL 1033.442,GB 4746.041,GH 757.7000
LS 26420,BP 933.900,BH 34.240,BT 19.790,DH 43.800,DT 14.200,GT 16:7:47,GD 27/3,GF 1/2,GS 9,GL 1033.441,GB 4746.041,GH 757.6000
LS 26425,BP 933.910,BH 34.230,BT 19.790,DH 43.000,DT 14.300,GT 16:7:52,GD 27/3,GF 1/2,GS 9,GL 1033.440,GB 4746.041,GH 757.3000
LS 26430,BP 933.930,BH 34.250,BT 19.800,DH 42.100,DT 14.500,GT 16:7:57,GD 27/3,GF 1/2,GS 9,GL 1033.440,GB 4746.041,GH 757.4000
LS 26435,BP 934.060,BH 34.310,BT 19.820,DH 40.600,DT 14.600,GT 16:8:2,GD 27/3,GF 1/2,GS 9,GL 1033.442,GB 4746.041,GH 757.4000
LS 26440,BP 933.990,BH 34.270,BT 19.800,DH 40.400,DT 14.600,GT 16:8:7,GD 27/3,GF 1/2,GS 9,GL 1033.443,GB 4746.041,GH 756.5000
LS 26445,BP 933.960,BH 34.300,BT 19.830,DH 41.100,DT 14.700,GT 16:8:12,GD 27/3,GF 1/2,GS 9,GL 1033.444,GB 4746.041,GH 756.2000
LS 26450,BP 933.950,BH 34.300,BT 19.830,DH 41.300,DT 14.800,GT 16:8:17,GD 27/3,GF 1/2,GS 9,GL 1033.444,GB 4746.042,GH 756.2000
LS 26455,BP 933.950,BH 34.290,BT 19.840,DH 40.600,DT 15.100,GT 16:8:22,GD 27/3,GF 1/2,GS 9,GL 1033.444,GB 4746.042,GH 756.2000
LS 26460,BP 933.960,BH 34.280,BT 19.850,DH 41.200,DT 15.000,GT 16:8:27,GD 27/3,GF 1/2,GS 9,GL 1033.444,GB 4746.043,GH 756.3000
LS 26465,BP 933.990,BH 34.340,BT 19.860,DH 41.200,DT 15.200,GT 16:8:32,GD 27/3,GF 1/2,GS 9,GL 1033.446,GB 4746.045,GH 756.0000
LS 26470,BP 934.010,BH 34.360,BT 19.880,DH 42.100,DT 15.300,GT 16:8:37,GD 27/3,GF 1/2,GS 9,GL 1033.447,GB 4746.045,GH 755.7000
LS 26475,BP 933.950,BH 34.440,BT 19.890,DH 40.100,DT 15.400,GT 16:8:42,GD 27/3,GF 1/2,GS 9,GL 1033.450,GB 4746.046,GH 755.5000
LS 26480,BP 933.990,BH 34.320,BT 19.900,DH --.---,DT --.---,GT 16:8:47,GD 27/3,GF 1/2,GS 9,GL 1033.452,GB 4746.049,GH 755.5000
LS 26485,BP 933.960,BH 34.140,BT 19.900,DH 38.600,DT 15.500,GT 16:8:52,GD 27/3,GF 1/2,GS 9,GL 1033.455,GB 4746.053,GH 755.7000
LS 26490,BP 934.030,BH 34.040,BT 19.910,DH 38.000,DT 15.600,GT 16:8:57,GD 27/3,GF 1/2,GS 9,GL 1033.459,GB 4746.055,GH 755.8000
LS 26495,BP 933.980,BH 33.870,BT 19.910,DH 38.400,DT 15.700,GT 16:9:2,GD 27/3,GF 1/2,GS 9,GL 1033.464,GB 4746.059,GH 755.3000
LS 26500,BP 933.970,BH 33.850,BT 19.920,DH 38.500,DT 15.900,GT 16:9:7,GD 27/3,GF 1/2,GS 9,GL 1033.468,GB 4746.062,GH 755.2000
LS 26505,BP 933.880,BH 33.810,BT 19.940,DH 38.800,DT 15.900,GT 16:9:12,GD 27/3,GF 1/2,GS 9,GL 1033.472,GB 4746.065,GH 755.0000
LS 26510,BP 933.860,BH 33.850,BT 19.950,DH 38.100,DT 16.000,GT 16:9:17,GD 27/3,GF 1/2,GS 9,GL 1033.476,GB 4746.067,GH 754.9000
LS 26515,BP 933.880,BH 33.830,BT 19.950,DH 37.100,DT 15.900,GT 16:9:22,GD 27/3,GF 1/2,GS 9,GL 1033.484,GB 4746.070,GH 754.7000
LS 26520,BP 933.910,BH 33.370,BT 19.970,DH 36.200,DT 16.100,GT 16:9:27,GD 27/3,GF 1/2,GS 9,GL 1033.490,GB 4746.071,GH 754.2000
LS 26525,BP 933.980,BH 33.960,BT 19.990,DH 35.700,DT 16.300,GT 16:9:32,GD 27/3,GF 1/2,GS 9,GL 1033.494,GB 4746.073,GH 754.1000
LS 26530,BP 933.970,BH 33.950,BT 20.000,DH 35.500,DT 16.400,GT 16:9:37,GD 27/3,GF 1/2,GS 9,GL 1033.498,GB 4746.074,GH 753.8000
LS 26535,BP 933.970,BH 33.890,BT 20.020,DH 36.000,DT 16.300,GT 16:9:42,GD 27/3,GF 1/2,GS 9,GL 1033.500,GB 4746.074,GH 753.3000
