LS 51600,BP 938.340,BH 27.820,BT 16.960,DH 62.300,DT 5.500,GT 23:7:41,GD 27/3,GF 1/2,GS 9,GL 1036.975,GB 4746.396,GH 743.7000
LS 51605,BP 938.350,BH 27.850,BT 16.950,DH 62.500,DT 5.500,GT 23:7:46,GD 27/3,GF 1/2,GS 9,GL 1036.975,GB 4746.396,GH 743.7000
LS 51610,BP 938.370,BH 27.830,BT 16.950,DH 62.600,DT 5.500,GT 23:7:51,GD 27/3,GF 1/2,GS 9,GL 1036.975,GB 4746.396,GH 743.7000
LS 51615,BP 938.390,BH 27.830,BT 16.940,DH 62.600,DT 5.500,GT 23:7:56,GD 27/3,GF 1/2,GS 9,GL 1036.975,GB 4746.396,GH 743.7000
LS 51620,BP 938.350,BH 27.830,BT 16.940,DH 62.600,DT 5.500,GT 23:8:1,GD 27/3,GF 1/2,GS 8,GL 1036.975,GB 4746.396,GH 743.7000
LS 51625,BP 938.370,BH 27.850,BT 16.940,DH 62.600,DT 5.500,GT 23:8:6,GD 27/3,GF 1/2,GS 8,GL 1036.975,GB 4746.396,GH 743.6000
LS 51630,BP 938.330,BH 27.850,BT 16.920,DH 62.600,DT 5.500,GT 23:8:11,GD 27/3,GF 1/2,GS 9,GL 1036.975,GB 4746.396,GH 743.6000
LS 51635,BP 938.360,BH 27.850,BT 16.910,DH 62.600,DT 5.500,GT 23:8:16,GD 27/3,GF 1/2,GS 9,GL 1036.975,GB 4746.396,GH 743.6000
LS 51640,BP 938.340,BH 27.830,BT 16.920,DH 62.500,DT 5.500,GT 23:8:21,GD 27/3,GF 1/2,GS 9,GL 1036.975,GB 4746.396,GH 743.6000
LS 51645,BP 938.370,BH 27.830,BT 16.920,DH 62.500,DT 5.500,GT 23:8:26,GD 27/3,GF 1/2,GS 9,GL 1036.975,GB 4746.396,GH 743.6000
LS 51650,BP 938.330,BH 27.870,BT 16.910,DH 62.500,DT 5.500,GT 23:8:32,GD 27/3,GF 1/2,GS 8,GL 1036.975,GB 4746.396,GH 743.5000
LS 51655,BP 938.370,BH 27.870,BT 16.910,DH 62.500,DT 5.500,GT 23:8:36,GD 27/3,GF 1/2,GS 9,GL 1036.975,GB 4746.396,GH 743.5000
LS 51660,BP 938.340,BH 27.840,BT 16.900,DH 62.500,DT 5.500,GT 23:8:42,GD 27/3,GF 1/2,GS 8,GL 1036.975,GB 4746.396,GH 743.5000
LS 51665,BP 938.360,BH 27.460,BT 16.900,DH 62.500,DT 5.500,GT 23:8:47,GD 27/3,GF 1/2,GS 8,GL 1036.975,GB 4746.396,GH 743.4000
LS 51670,BP 938.370,BH 27.860,BT 16.890,DH 62.500,DT 5.500,GT 23:8:51,GD 27/3,GF 1/2,GS 9,GL 1036.975,GB 4746.396,GH 743.4000
LS 51675,BP 938.340,BH 27.850,BT 16.880,DH 62.500,DT 5.500,GT 23:8:56,GD 27/3,GF 1/2,GS 10,GL 1036.975,GB 4746.396,GH 743.4000
LS 51680,BP 938.320,BH 27.870,BT 16.870,DH 62.400,DT 5.500,GT 23:9:1,GD 27/3,GF 1/2,GS 9,GL 1036.975,GB 4746.396,GH 743.3000
LS 51685,BP 938.360,BH 27.880,BT 16.870,DH 62.400,DT 5.500,GT 23:9:6,GD 27/3,GF 1/2,GS 8,GL 1036.975,GB 4746.396,GH 743.3000
LS 51690,BP 938.350,BH 27.880,BT 16.870,DH 62.500,DT 5.500,GT 23:9:12,GD 27/3,GF 1/2,GS 9,GL 1036.975,GB 4746.396,GH 743.3000
LS 51695,BP 938.380,BH 27.860,BT 16.860,DH 62.500,DT 5.500,GT 23:9:17,GD 27/3,GF 1/2,GS 9,GL 1036.975,GB 4746.396,GH 743.3000
LS 51700,BP 938.360,BH 27.390,BT 16.860,DH 62.500,DT 5.500,GT 23:9:22,GD 27/3,GF 1/2,GS 10,GL 1036.975,GB 4746.396,GH 743.3000
LS 51705,BP 938.390,BH 27.860,BT 16.870,DH 62.500,DT 5.400,GT 23:9:26,GD 27/3,GF 1/2,GS 10,GL 1036.975,GB 4746.396,GH 743.3000
LS 51710,BP 938.390,BH 27.870,BT 16.850,DH 62.500,DT 5.500,GT 23:9:32,GD 27/3,GF 1/2,GS 10,GL 1036.975,GB 4746.396,GH 743.3000
LS 51715,BP 938.360,BH 27.870,BT 16.840,DH 62.500,DT 5.500,GT 23:9:37,GD 27/3,GF 1/2,GS 10,GL 1036.975,GB 4746.396,GH 743.2000
LS 51720,BP 938.350,BH 27.890,BT 16.830,DH 62.500,DT 5.400,GT 23:9:41,GD 27/3,GF 1/2,GS 10,GL 1036.975,GB 4746.396,GH 743.2000
LS 51725,BP 938.360,BH 27.880,BT 16.830,DH 62.500,DT 5.500,GT 23:9:46,GD 27/3,GF 1/2,GS 10,GL 1036.975,GB 4746.396,GH 743.2000
LS 51730,BP 938.370,BH 27.870,BT 16.830,DH 62.500,DT 5.400,GT 23:9:51,GD 27/3,GF 1/2,GS 10,GL 1036.975,GB 4746.396,GH 743.2000
LS 51735,BP 938.380,BH 27.490,BT 16.820,DH 62.500,DT 5.400,GT 23:9:57,GD 27/3,GF 1/2,GS 10,GL 1036.975,GB 4746.396,GH 743.2000
LS 51740,BP 938.350,BH 27.890,BT 16.810,DH 62.500,DT 5.400,GT 23:10:2,GD 27/3,GF 1/2,GS 9,GL 1036.975,GB 4746.396,GH 743.2000
LS 51745,BP 938.360,BH 27.880,BT 16.820,DH 62.500,DT 5.400,GT 23:10:6,GD 27/3,GF 1/2,GS 9,GL 1036.975,GB 4746.396,GH 743.2000
LS 51750,BP 938.350,BH 27.890,BT 16.810,DH 62.500,DT 5.400,GT 23:10:12,GD 27/3,GF 1/2,GS 9,GL 1036.975,GB 4746.396,GH 743.2000
LS 51755,BP 938.370,BH 27.890,BT 16.800,DH 62.400,DT 5.400,GT 23:10:17,GD 27/3,GF 1/2,GS 9,GL 1036.975,GB 4746.396,GH 743.2000
LS 51760,BP 938.330,BH 27.890,BT 16.790,DH 62.400,DT 5.400,GT 23:10:22,GD 27/3,GF 1/2,GS 10,GL 1036.975,GB 4746.396,GH 743.2000
LS 51765,BP 938.360,BH 27.910,BT 16.790,DH 62.400,DT 5.400,GT 23:10:27,GD 27/3,GF 1/2,GS 10,GL 1036.975,GB 4746.396,GH 743.2000
LS 51770,BP 938.360,BH 27.890,BT 16.790,DH 62.400,DT 5.400,GT 23:10:31,GD 27/3,GF 1/2,GS 10,GL 1036.975,GB 4746.396,GH 743.3000
LS 51775,BP 938.350,BH 27.900,BT 16.780,DH 62.400,DT 5.400,GT 23:10:36,GD 27/3,GF 1/2,GS 11,GL 1036.975,GB 4746.396,GH 743.3000
LS 51780,BP 938.370,BH 27.900,BT 16.780,DH 62.400,DT 5.400,GT 23:10:41,GD 27/3,GF 1/2,GS 11,GL 1036.975,GB 4746.396,GH 743.3000
LS 51785,BP 938.340,BH 27.910,BT 16.760,DH 62.500,DT 5.400,GT 23:10:47,GD 27/3,GF 1/2,GS 10,GL 1036.975,GB 4746.396,GH 743.3000
LS 51790,BP 938.360,BH 27.900,BT 16.770,DH 62.500,DT 5.400,GT 23:10:51,GD 27/3,GF 1/2,GS 10,GL 1036.975,GB 4746.396,GH 743.3000
LS 51795,BP 938.360,BH 27.920,BT 16.760,DH 62.400,DT 5.400,GT 23:10:57,GD 27/3,GF 1/2,GS 10,GL 1036.975,GB 4746.396,GH 743.3000
LS 51800,BP 938.340,BH 27.910,BT 16.750,DH 62.500,DT 5.400,GT 23:11:1,GD 27/3,GF 1/2,GS 11,GL 1036.975,GB 4746.396,GH 743.3000
LS 51805,BP 938.340,BH 27.920,BT 16.750,DH 62.500,DT 5.400,GT 23:11:6,GD 27/3,GF 1/2,GS 10,GL 1036.975,GB 4746.396,GH 743.3000
LS 51810,BP 938.360,BH 27.910,BT 16.740,DH 62.500,DT 5.400,GT 23:11:11,GD 27/3,GF 1/2,GS 11,GL 1036.975,GB 4746.396,GH 743.3000
LS 51815,BP 938.350,BH 27.930,BT 16.740,DH 62.500,DT 5.400,GT 23:11:16,GD 27/3,GF 1/2,GS 11,GL 1036.975,GB 4746.396,GH 743.3000
LS 51820,BP 938.350,BH 27.940,BT 16.730,DH 62.500,DT 5.400,GT 23:11:21,GD 27/3,GF 1/2,GS 11,GL 1036.975,GB 4746.396,GH 743.3000
LS 51825,BP 938.370,BH 27.910,BT 16.730,DH 62.500,DT 5.400,GT 23:11:26,GD 27/3,GF 1/2,GS 11,GL 1036.975,GB 4746.396,GH 743.3000
LS 51830,BP 938.390,BH 27.930,BT 16.730,DH 62.500,DT 5.400,GT 23:11:31,GD 27/3,GF 1/2,GS 11,GL 1036.975,GB 4746.396,GH 743.3000
LS 51835,BP 938.400,BH 27.920,BT 16.720,DH 62.500,DT 5.400,GT 23:11:36,GD 27/3,GF 1/2,GS 11,GL 1036.975,GB 4746.396,GH 743.3000
LS 51840,BP 938.390,BH 27.930,BT 16.710,DH 62.500,DT 5.400,GT 23:11:42,GD 27/3,GF 1/2,GS 10,GL 1036.975,GB 4746.396,GH 743.3000
LS 51845,BP 938.370,BH 27.930,BT 16.710,DH 62.500,DT 5.400,GT 23:11:46,GD 27/3,GF 1/2,GS 10,GL 1036.975,GB 4746.396,GH 743.3000
LS 51850,BP 938.360,BH 28.200,BT 16.700,DH 62.500,DT 5.400,GT 23:11:52,GD 27/3,GF 1/2,GS 11,GL 1036.975,GB 4746.396,GH 743.3000
LS 51855,BP 938.350,BH 27.920,BT 16.700,DH 62.500,DT 5.400,GT 23:11:57,GD 27/3,GF 1/2,GS 11,GL 1036.975,GB 4746.396,GH 743.3000
LS 51860,BP 938.350,BH 27.910,BT 16.690,DH 62.500,DT 5.400,GT 23:12:2,GD 27/3,GF 1/2,GS 11,GL 1036.975,GB 4746.396,GH 743.3000
