00005,909.780,26.300,19.900,39.000,13.000,1641541638.0,0/0,0,0.000,0.000,0.0000
00010,909.800,25.890,19.950,38.600,13.000,1641541643.0,0/0,0,0.000,0.000,0.0000
00015,909.750,26.520,20.030,38.100,12.900,1641541648.0,0/0,0,0.000,0.000,0.0000
00020,909.750,26.470,20.120,37.800,13.300,1648363653.0,0/0,0,0.000,0.000,0.0000
00025,909.770,27.260,20.180,37.700,13.300,1648363658.0,0/0,0,0.000,0.000,0.0000
00030,909.730,26.770,20.130,37.300,13.500,1648363663.0,0/0,0,0.000,0.000,0.0000
00035,909.800,26.740,20.180,--.---,--.---,1648363668.0,0/0,0,0.000,0.000,0.0000
00040,909.770,26.580,20.240,36.800,13.100,1648363673.0,0/0,0,0.000,0.000,0.0000
00045,909.740,26.000,19.910,37.300,13.000,1648363678.0,0/0,0,0.000,0.000,0.0000
00050,909.740,26.620,19.740,37.600,13.500,1648363683.0,0/0,0,0.000,0.000,0.0000
00055,909.770,26.720,19.830,37.800,13.900,1648363688.0,0/0,0,0.000,0.000,0.0000
00060,909.780,27.200,19.890,--.---,--.---,1648363692.0,0/0,0,0.000,0.000,0.0000
00065,909.770,26.260,19.670,37.200,14.400,1648363698.0,0/0,3,0.000,0.000,0.0000
00070,909.780,26.150,19.780,35.600,15.100,1648363703.0,1/1,3,1100.787,4748.156,102.2000
00075,909.760,26.120,19.730,35.000,15.500,1648363708.0,1/1,3,1100.787,4748.156,102.2000
00080,909.790,25.900,19.660,34.400,15.500,1648363713.0,1/1,4,1100.767,4748.158,112.8000
00085,909.770,25.690,19.700,34.200,15.800,1648363718.0,1/1,4,1100.759,4748.160,115.8000
00090,909.780,25.720,19.700,33.100,16.000,1648363723.0,1/1,4,1100.759,4748.155,117.4000
00095,909.740,25.480,19.730,32.200,16.200,1648363728.0,1/1,4,1100.760,4748.153,119.0000
00100,909.710,25.540,19.370,31.400,16.500,1648363733.0,1/1,5,1100.777,4748.093,273.7000
00105,909.740,25.680,18.900,31.000,16.100,1648363738.0,1/1,6,1100.746,4748.065,526.0000
00110,909.740,25.960,18.750,31.000,16.100,1648363743.0,1/1,7,1100.725,4748.053,669.7000
00115,909.760,26.050,18.930,31.100,16.500,1648363748.0,1/1,7,1100.715,4748.046,751.6000
